"callnum","circ","lang","ctry"
"JF801 .W53 2009","2","eng","mau"
"JF1525.A8 I37 2009","0","eng","enk"
"JK552 .D33 2009","1","eng","nyu"
"HN530.2.A8 B74 2008","0","eng","nyu"
"JC571 .I6362 2009","3","eng","pau"
"JN94.A38 M52 2009","0","eng","enk"
"JZ1480.A55 N35 2009","0","eng","nju"
"JZ1305 .F75 2009","6","eng","nyu"
"JA74.5 .L35 2008","0","eng","stk"
"KFM2478.8.W5 R43 2009","1","eng","enk"
"JK511 .N49 2009","0","eng","nyu"
"JZ4984.5 .T73 2009","1","eng","enk"
"JZ1480.A57 I758 2009","4","eng","enk"
"KF7745 .J37 2009","1","eng","nyu"
"HC59.3 .S56 2008","0","eng","nyu"
"PQ4801.L75 Z785 2009","0","ita","it "
"PL76.7 .O993 2008","0","rus","kz "
"BJ1500.N8 A43 2009","2","ita","it "
"DK908.869.N39 Q37 2008","0","rus","kz "
"PQ2669.Z95 C46 1996","1","fre","fr "
"HD9675.Q7 J69 2003","0","ger","gw "
"ND623.G33 A63 2003","0","ita","it "
"HV6433.K3 P74 2008","0","rus","kz "
"PT2621.A26 Z788 2008","0","ger","gw "
"PG3492.34.S646 G67 2008","0","rus","kz "
"DD256.3 .H385 2009","0","ger","gw "
"PA8295.C35 B4516 2008","0","ita","it "
"JN7651 .F77 2008","0","nor","no "
"PQ4873.A6932 R56 2008","0","ita","it "
"PQ7798.26.O78 B63 2008","0","spa","ag "
"HC415.3 .A53 2006","0","ara","su "
"PQ4053.C55 N88 2008","0","ita","it "
"D764 .M46 2005","0","rus","ru "
"JN3971.A58 P65 2008","0","ger","gw "
"BP190.5.P73 Z33 2006","0","ara","le "
"PH2410 .B45 2008","0","hun","hu "
"P325 .K47 2007","0","hun","hu "
"QD11 .C445 2002","0","ger","gw "
"N69.H8 K46 2007","0","hun","hu "
"QD18.A9 R67 2004","0","ger","au "
"Q127.G3 N373 2001","1","ger","gw "
"LC93.H9 K37 2007","0","hun","hu "
"Q127.G3 W536 2002","2","ger","gw "
"PG3491.94.E84 M45 2008","0","rus","ru "
"BP136.8 .M85 2004","0","ara","le "
"PH3402.C9 T8 2007","0","hun","xo "
"PL6058.9.L25 P77 2001","0","tgl","ph "
"PH3194.B3 Z876 2007","0","hun","hu "
"JS7656.3.A2 H36 2006","0","eng","nr "
"BR1604.23 .V5386 2008","0","spa","sp "
"DB922.3 .Z75 2007","0","hun","hu "
"JQ1849.A95 U49 2004","0","ara","iq "
"HM278 .R49 1999","0","tgl","ph "
"DB956.6.R329 P48 2001","0","hun","hu "
"PN5355.H82 .N34 2001","0","hun","hu "
"PH3213.A347 E8 2001","0","hun","hu "
"BR65 C65 P768 2008","1","spa","sp "
"PL6058.8 .A54 2007","0","tgl","ph "
"PL6058.6 .L38 2007","0","tgl","ph "
"DS686.614 .D383 2003","0","tgl","ph "
"PL5531 .T55 2007","1","tgl","ph "
"DP302.G19 X67 2000","0","spa","sp "
"DT469.M467 H285 2008","0","fre","mf "
"DK34.F54 F563 2008","0","rus","ru "
"PL6058.2 .A54 2006","1","tgl","ph "
"JQ939.A5 H848 2004","1","eng","cb "
"PL5544 .S26 2006","0","tgl","ph "
"PL5179.R32 Z81 2005","0","ind","io "
"PG7172.I316 T79 2006","0","pol","pl "
"HB137 .U53 2008","0","eng","fr "
"LG320.T48 T59 2005","0","rus","ru "
"PN6790.P53 V47 2003","0","tgl","ph "
"PL6058.9.R36 M39 2005","0","tgl","ph "
"CT1548.S27 S55 1950","0","tha","th "
"PG2835.2.S58 D94 2008","0","bel","bw "
"PK6481.D4 S83 2006","0","per","ir "
"DG55.B36 C39 2008","0","fre","it "
"NC255 .I8236 2008","0","ita","it "
"N8217.D3 P46 2001","0","hun","hu "
"PK6458 .B35 2003","0","per","ir "
"LF2907 .U558 2008","1","ger","gw "
"DK561 .A64 2007","0","rus","ru "
"PK6199.8 .M57 2004","0","per","ir "
"HG3368.A6 A73 2007","0","ind","io "
"PT2667.R842 L54 2008","0","ger","gw "
"CT968.T43 A3 2000","0","hun","hu "
"DD257 .D35 2007","0","rus","ru "
"DK38.7.Z48 G73 2007","0","rus","ru "
"GE320.N6 C667 2008","0","eng","nr "
"BP166.1 .F736 2005","1","eng","enk"
"HD4875.H9 S94 2008","0","hun","hu "
"JQ3098 .M356 2008","0","eng","nr "
"PH3194.B3 Z532 2006","0","hun","hu "
"HG3048 .S33 2008","0","ger","gw "
"HC340.12.Z7 S5384 2004","0","rus","ru "
"BX1529 .L338 1995","1","fre","fr "
"PH2369 .B35 2007","0","hun","hu "
"PH3402.T7 S98 2007","0","hun","rm "
"NA1501 .S24 2006","1","eng","ii "
"DT324.92.A99 W372 2004","0","ara","mr "
"B801.A12 C66 1983","0","fre","sz "
"HC340.12 .N676 2007","0","rus","ru "
"P85.S18 F475 2008","0","rus","ru "
"JS6117.3.A2 K67 2008","0","rus","ru "
"HV6028 .P74 2008","0","rus","ru "
"HF1171.A73 B337 2005","0","ara","ua "
"DA25.M2 .S3","0","eng","enk"
"BX492 .S454 2007","0","rus","ru "
"PG3467.M4 Z98 2008","0","rus","ru "
"PK6546 .K38 2006","0","per","ir "
"B5074.N374 A3 2006","2","per","ir "
"BX173 .Q37 2003","0","ara","iq "
"N5310 .L5313","0","eng","nyu"
"PK6550 .T8 2008","0","per","ir "
"B4238.C5 P48 2008","0","rus","ru "
"DS87.2.A2 K535 2006","0","ara","le "
"DS318.84.H37 A3 2008","0","per","ir "
"BP130.4 .M753 2007","0","per","ir "
"NA835 .S33 2003","0","spa","ag "
"HT166 .L54 2006","0","eng","si "
"PL8795.9.J63 I513 1980","0","eng","sa "
"J60 F4 96th v.18","0","eng","dcu"
"J60 F4 96th v.18","0","eng","dcu"
"J60 F4 96th v.18","0","eng","dcu"
"J60 F4 96th v.18","0","eng","dcu"
"D810.C698 S984 2008","3","eng","si "
"HD9654.9.I5 M37 2008","0","fre","fr "
"PC839.C33 A6 2001","0","rum","rm "
"PC840.429.T395 D68 2000","0","rum","rm "
"PQ305 .M86 2008","0","ger","gw "
"QB33.R9 S95 2007","0","rus","ru "
"BS1405 .H3938 2008","0","ger","gw "
"VA573 .C354 2007","0","rus","ru "
"PE2801 .A41","2","eng","eng"
"PC840.12.A573 Z5 1998","0","rum","rm "
"HB141 .M568 2008","0","hun","hu "
"P40.5.L28 F57 1991","1","eng","enk"
"PQ2683.A3567 A17 2008","0","fre","fr "
"ND553.F726 A4 2008","0","fre","it "
"PT147 .G44 2007","0","ger","gw "
"PN6272 .S74 2008","2","fre","fr "
"DG571 .P36 2009","0","ita","it "
"PL210.A358 G64 2009","0","tur","tu "
"DK759.G5 T25 2007","0","rus","ru "
"HQ18.G3 N38 2009","1","ger","gw "
"PC1849.V36 D68 2008","0","ita","it "
"HQ792.F7 A715 1978","0","ger","gw "
"PQ4873.O6676 C36 2009","0","ita","it "
"Z665.2.R8 K33 2007","0","rus","ru "
"HD2133.Z8 B664 2001","0","eng","bs "
"HD9575.I82 P69 2009","0","ita","it "
"HD996.Z63 B6788 2003","0","eng","bs "
"DR590 .B464 2009","0","tur","tu "
"HN460.R3 A554 2007","0","ger","gw "
"PQ4902.E747 S87 2009","0","ita","it "
"UA770 .V6458 2007","0","rus","ru "
"NA270 .A97 2008","0","ger","gw "
"PQ4835.A3 Z5825 2009","0","ita","it "
"DS94.8.P34 J335 2006","0","ara","sy "
"UA770 .V6459 2008","0","rus","ru "
"PT2714.I29 L45 2009","1","ger","gw "
"PG3447.Z5 Z985 2007","1","rus","ru "
"PT2613.O64 A6 2009","0","ger","gw "
"DS195.5 .S868 2009","0","tur","tu "
"PT2685.E825 A6 2009","0","ger","gw "
"ZA4082.R8 E447 2007","0","rus","ru "
"PT2673.E6876 L53 2009","0","ger","gw "
"B573 .G56 2008","0","fre","fr "
"DK49 .P63 2008","0","rus","ru "
"PA6445.I5 E36 2008","0","fre","fr "
"DS59.K86 B3924 2009","0","tur","tu "
"PC45 .S45 2008","0","fre","fr "
"LA2388.E3 A45 2006","1","ara","ua "
"DD260.65.S81 A3 2009","0","ger","gw "
"ND1088.3.V35 A2 2007","0","fre","fr "
"DD287.7.K74 A3 2009","0","ger","gw "
"DG975.S2 Z8236 2007","0","ita","sm "
"U310 .G56 2008","0","ita","it "
"PQ4880.R4574 G76 2009","0","ita","it "
"ND623.C16 C66 2007","0","ita","it "
"PJ7541 .H873 2004","0","ara","enk"
"HT148.E35 P34 2008","0","fre","fr "
"DK511.B33 K588 2008","0","rus","ru "
"DC59.8.G3 G37 2008","0","fre","fr "
"DB2003 .H734 2008","0","cze","xr "
"DG975.B5 C38 2008","0","ita","it "
"DS38.4.A28 T356 2005","0","ara","le "
"N8187.5.I8 P57 2008","1","ita","it "
"DK651.S7 S82 2003","0","rus","ru "
"CN513 .R653 2008","0","fre","fr "
"PQ4862.O52254 A63 2009","0","ita","it "
"PQ4053.P7 M55 2009","0","ita","it "
"PQ4833.R67 R56 2009","0","ita","it "
"PT285 .C85 2008","0","fre","fr "
"BP190.5.M28 S237 2006","0","ara","le "
"PN1993.5.A1 M44 1996","0","ger","gw "
"PQ4916.E38 S68 2009","0","ita","it "
"QH31.H3 H35 2005","1","ger","sz "
"PQ3989.2.J4 A636 1976","0","fre","fr "
"G743 .V57 2009","0","ita","it "
"DS87.2.Q297 A3 2000","0","ara","xx "
"DC146.S5 Q58 2008","0","fre","fr "
"ND673.M6 A74 2007","1","fre","fr "
"BP166 .D3775 2006","0","ara","sy "
"PT2685.A48 Z595 2005","0","ger","gw "
"P221.5 .M36 2008","1","fre","fr "
"NK520.F8 P376 2006","0","fre","it "
"DG847.14 .G56 2006","0","ita","it "
"BP131.3 .S233 2005","0","ara","le "
"DT433.583.K37 K37 2008","0","eng","ke "
"PQ3989.3.D4975 S57 2008","0","fre","fr "
"JN15 .D4276 2008","1","eng","stk"
"DG555 .B33 2005","0","ita","it "
"HQ799.R9 R823 2006","0","rus","ru "
"BL610 .B57 2008","0","ita","it "
"PG3355.5 .S78 2007","0","rus","ru "
"PG2071 .G73 2007","0","rus","ru "
"PA4007 .S63 2008","0","ita","it "
"JC423 .I56 2007","0","rus","ru "
"HG5580.2.A3 I86 2007","0","rus","ru "
"BR75.T45 C37 2007","0","ita","it "
"BR65.H76 D85 2008","0","fre","it "
"JN6699.A53 A885 2006","0","rus","ru "
"KBP3110 .F54 2005","0","ara","mr "
"DD178 .B84 2009","0","ger","gw "
"P35.5.R9 D73 2004","0","rus","ru "
"PT2379 .V67 2006","0","ger","gw "
"B2553 1923","0","ger","gw "
"DK290.3.Y45 G73 2008","0","rus","ru "
"DK510.32 .R89 2008","0","rus","ru "
"PG5039.1.D38 P6 2008","0","cze","xr "
"PT2676.A853 A48 2008","0","ger","au "
"HQ759.9 .B33 2008","0","rus","ru "
"CN750 .C375 2008","0","ita","it "
"DK32 .P663 2008","0","rus","ru "
"B398.L42 B66 2008","1","ita","it "
"BX540 .S75 2007","0","rus","ru "
"GN845.L76 M339 1999","0","ger","lh "
"GN845.L76 M339 1999","0","ger","lh "
"PA6373.I8 F83 2008","0","ita","it "
"GN845.L76 M339 1999","0","ger","lh "
"GN845.L76 M339 1999","0","ger","lh "
"PJ7862.A519 Z635813 2008","1","eng","enk"
"PA3936.A23 S4 2008","0","ita","it "
"BX1790 .H6 2008","0","lat","gw "
"BJ1535.H8 B7 2008","0","ita","it "
"PA6694.S8 C67 2008","0","ita","it "
"PJ2369.A4 D47 2007","0","fre","fr "
"PJ2369.A4 D47 2007","0","fre","fr "
"B693.E52 F8 2008","0","fre","fr "
"B703.S72 F7 1978","0","fre","fr "
"B703.S72 F7 1978","0","fre","fr "
"JS5740 .P74 2007","0","ita","it "
"N7485.S9 L58 2008","0","ger","sz "
"PQ2536 .Z64 2003","0","fre","fr "
"DC611.S337 D537 2005","0","fre","fr "
"DC611.S337 D537 2005","0","fre","fr "
"HQ205.V46 S33 2006","0","ita","it "
"HC153 .E67 2003","0","fre","ht "
"HC153 .E67 2003","0","fre","ht "
"PQ4835.A48 A12 2008","0","ita","it "
"B2430.D484 A5 2008","4","fre","fr "
"PQ2489 2002","0","fre","fr "
"PQ2489 2002","0","fre","fr "
"DD247.H5 P548 2007","0","fre","fr "
"DD247.H5 P548 2007","0","fre","fr "
"DD247.H5 P548 2007","0","fre","fr "
"DD247.H5 P548 2007","0","fre","fr "
"DG737.55 .P73 2009","0","ita","it "
"PN81 .P597 2008","0","ita","it "
"PQ4809.H33 Q94 2008","0","ita","it "
"PQ4209 .M86 2007","0","ita","it "
"PN1998.3.F477 P47 2008","0","ita","it "
"PQ4879.C363 A72 2009","0","ita","it "
"D134 .C48 2009","0","ita","it "
"PQ4865.C6 Z915 2007","0","ita","it "
"PJ1064.C6 M46 1990","0","fre","fr "
"GT3055 .J84 2008","0","fre","fr "
"HQ1180 .I55 2002","0","eng","ug "
"PL8596.N94 R86 2009","0","nyo","ug "
"PL205 .C47 2009","0","tur","tu "
"PT2621.A26 Z731 2008","1","ger","sz "
"DS492.7 .A34 2007","4","eng","np "
"PT8951.28.A34 D7 2006","0","nor","no "
"TA140.A478 F83 2004","0","ger","gw "
"DD247.S37 A3 1939","0","ger","gw "
"LA606 .M242 2008","0","spa","ve "
"KTW482.4.A67 N38 2008","1","eng","ug "
"DD281.6 .W56 2009","0","ger","gw "
"N6989 .R95 2006","0","rus","ru "
"JN5641 .F66 2009","0","ita","it "
"PT2667.O335 H47 2009","0","ger","sz "
"LA422 .O75 2007","0","spa","mx "
"B105.S45 L57 2007","0","ita","it "
"N7483.R44 W45 2009","0","ger","gw "
"PT2635.A27 L56 1953","0","ger","gw "
"HC865.Z9 T45 2008","0","eng","ke "
"PT2675.R748 R66 2009","0","ger","gw "
"PT2617.E9 E6 1928","0","ger","gw "
"PQ3989.3.O53 I67 2008","0","fre","fr "
"LA422 .T57 2007","0","spa","mx "
"B29 .U75 2008","0","dut","be "
"DK907 .A75 2007","1","rus","kz "
"HD6060.5.S8 D34 2008","0","swe","sw "
"DL766.G871 A53 2009","0","swe","sw "
"HQ799.B5 Y36 2008","0","spa","bo "
"DK907 .K53 2007","0","kaz","kz "
"HD5062.8 .W36 2006","0","eng","ce "
"GR300 .P68 2007","0","rus","kz "
"BM538.A7 S64 2003","0","heb","is "
"PT9876.12.E715 B74 2008","0","swe","sw "
"BM504.2.L53 G53 2008","0","heb","is "
"DD881.3 .W44 2009","0","ger","gw "
"PT2617.E85 G5475 2008","0","ger","gw "
"BX4220.A7 B853 2008","0","spa","ag "
"JN6695 .P655 2005","0","rus","ru "
"PT2605.O32 Z88 2009","0","ger","gw "
"DB98.H295 J67 2008","0","ger","au "
"HN786.A8 .M883 2005","0","ara","ua "
"JQ1830.A98 H376 2008","0","heb","is "
"PG3487.A592 V57 1989","0","rus","ru "
"PT8176.18.E825 C36 2008","0","dan","dk "
"PT151.W7 .S34 2008","0","ger","gw "
"TA527.S72 B37 2008","0","eng","ce "
"DD253.25 .W54 2009","0","ger","gw "
"HV5089 A4 1930a","2","eng","cau"
"PG7220.A76 Z68 2008","0","pol","pl "
"LG341.J45 T64 2009","0","heb","is "
"RA395.G4 K72 2004","0","ger","gw "
"D805.S8 D68 1946","0","ger","ne "
"GT349 .K43 2007","0","rus","kz "
"QH31.H2 A2 2005","0","ger","gw "
"HE8697.45.U6 B27 2005","0","ara","su "
"PT3705 .G45 2009","0","ger","gw "
"BF1591 .F58 2004","0","ger","gw "
"HD2346.S752 E377 2006","0","eng","ce "
"DK907 .L48 2007","0","rus","kz "
"DD62 .B54 2009","2","ger","gw "
"HD8670.8 .W67 2006","0","eng","ce "
"PA6306 .C55 2008","0","ger","gw "
"D849 .B42 2008","0","swe","sw "
"PT341 .Y66 2006","1","ger","sz "
"PT5653.G65 Z68 2008","0","dut","ne "
"B142.T5 S47 2007","0","fre","fr "
"DS126 .I85 2009","0","heb","is "
"PT2673.A4726 T58 2008","0","ger","gw "
"DL442.L3 N66 2008","0","nor","no "
"PJ7672.M377 A79 2005","0","ara","le "
"UA706.G2 J68 2002","0","fre","fr "
"BM560 .B72165 2008","0","heb","is "
"T40.M49 H46 2005","0","ger","gw "
"PQ2670.A225 Z815 2008","0","fre","fr "
"DC36.98.R63 B68 2008","1","fre","fr "
"DH645 .V45 2008","0","dut","be "
"PN3319 .A87 2008","0","fre","fr "
"PQ2673.I3364 P37 2009","0","fre","fr "
