"callnum","circ","lang","ctry"
"PT2603.E455 Z95813 2009","6","eng","ctu"
"PS3564.U48 A656 2009","0","eng","nyu"
"PR5366 .A4 2009","0","eng","onc"
"PT2666.R264 B55 2009","0","eng","enk"
"PS3563.A7295 C64 2009","2","eng","nyu"
"PS3606.A46 E73 2008","0","eng","ncu"
"PR457 .F36 2009","0","eng","enk"
"PL729 .H2964 2009","4","eng","nyu"
"HX44 .L48 2009","2","eng","nyu"
"PQ7081.5 .I34 2009","0","eng","enk"
" PS3569.E585 K65 2009","0","eng","nyu"
"PR9614.4 .M39 2009","0","eng","nyu"
"PN6727.H472 L63 2009","0","eng","wau"
"PS377 .N577 2009","0","eng","ilu"
"PQ1860 .L43 2009","2","eng","iau"
"PQ6004.A6 S63 2008","2","eng","deu"
"PR6065.B744 A65 2009","0","eng","enk"
"PJ7820.A7 K313 2009","2","eng","mau"
"PL832.O28 Z63 2009","7","eng","mau"
"PS3558.A6242 E53 2009","1","eng","ctu"
"PR6069.I525 H33 2009","2","eng","enk"
"PR6052.A46 Z57 2009","0","eng","enk"
"GV999 .T47 2009","0","eng","nyu"
"B52.7 .A23 2009","1","eng","enk"
"BR115.C8 L92 2009","1","eng","miu"
"B72 .C46 2009","1","eng","enk"
"BM525 .G3613 2009","0","eng","ctu"
"BX1749 .T36 2009","0","eng","enk"
"B2430.D454 D443 2009","3","eng","stk"
"B2430.D454 D454 2009","4","eng","stk"
"BL503 .E53 2009","3","eng","ncu"
"B805 .E82 2009","4","eng","nyu"
"BQ3147 .B774 2009","1","eng","mau"
"BP136 .B76 2009","2","eng","enk"
"BX1740.M6 N47 2009","1","eng","ctu"
"BR517 .N53 2008","1","eng","ilu"
"B4377 .E92 2009","3","eng","enk"
"BL2525 .N484 2009","2","eng","inu"
"B3317 .L433 2009","1","eng","nyu"
"BX1429.O2 W75 2009","2","eng","ncu"
"BM499.5.E52 S65 2009","2","eng","enk"
"BR115.W4 G66 2009","1","eng","ncu"
"BJ1201 .B36 2009","0","eng","mau"
"BR759 .B76 2009","3","eng","enk"
"BD444 .M388 2009","2","eng","enk"
"BP131.14 .E46 2009","1","eng","enk"
"BL1351.3 .L66 2009","7","eng","enk"
"BD438.5 .T46 2009","1","eng","enk"
"Q175 .P51235 2009","1","eng","enk"
"BR516 .R348 2009","1","eng","nyu"
"BP253.Z8 N8774 2009","0","eng","enk"
"BJ1031 .K67 2009","5","eng","enk"
"HD7287.3 .P64 2009","3","eng","enk"
"HD8066 .D42 2009","1","eng","nyu"
"HG229 .U43 2009","0","eng","mau"
"HD2341 .I5342 2009","1","eng","enk"
"PA8260 .G86 2009","2","eng","enk"
"BX1069.5 .W53 2009","1","eng","mau"
"B1402.E55 E44 2009","2","eng","enk"
"B105.A35 M47 2009","2","eng","enk"
"BD638 .H585 2009","6","eng","mau"
"BC171 .E23 2009","0","eng","enk"
"JC571 .Q465 2009","3","eng","pau"
"KF4541 .B56 2009","2","eng","nyu"
"JK1041 .J66 2009","1","eng","miu"
"JZ4984.5 .C665 2009","1","eng","mdu"
"JK516 .K55 2009","2","eng","ksu"
"JF251 .H66 2009","7","eng","nju"
"JV7085.P76 I89 2009","0","eng","nyu"
"JA85.2.E85 E87 2009","0","eng","enk"
"JC571 .G567 2009","3","eng","enk"
"UA23 .M395 2009","0","eng","cau"
"UA23 .H363 2009","0","eng","mnu"
"U21.2 .S753 2009","0","eng","enk"
"JF1351 .M256 2009","2","eng","flu"
"UB251.U6 G73 2009","1","eng","cau"
"JK2316 .A76 2009","1","eng","ksu"
"JV6101 .R48 2009","2","eng","enk"
"KTL110.S23 A3 2009","3","eng","enk"
"JC311 .H595 2009","3","eng","ohu"
"K5437 .S75 2009","2","eng","nyu"
"KNQ120 .G8 2009","1","eng","nyu"
"JZ5584.L43 M87 2009","0","eng","nyu"
"JQ831 .L83 2009","1","eng","enk"
"HB97.3 .S29 2009","0","eng","enk"
"HC60 .M3626 2009","3","eng","nyu"
"PN1995.9.A8 P53 2009","1","eng","cau"
"PN1998.3.P69 H63 2008","1","eng","enk"
"PN1995.9.R4 R387 2008","1","eng","enk"
"ND548.5.A35 A33 2009","0","eng","enk"
"ND467.5.P7 W75 2009","1","eng","enk"
"N7430.5 P74 2006","7","eng","enk"
"PQ4913.E57 C36 2009","0","ita","it "
"SB484.M8 O57 2007","0","fre","mr "
"DB772.H7 O247 2002","0","ger","au "
"HC180.E5 A67 2008","0","spa","ag "
"F2325.C37 C55 2008","0","spa","ve "
"LA729 .D64 2008","0","ger","gw "
"PF3075 .F764 2008","0","ger","gw "
"DK38.7.Z358 P47 2008","0","rus","ru "
"PN1993.5.G33 G87 2008","1","ger","gw "
"HD9161.V43 A5353 2005","0","spa","ve "
"PL508.V37 A39 2005","0","rus","ru "
"DK37.8.R6 R64 1993","0","rus","ru "
"ND3365.M3 S74 2002","0","ger","gw "
"JN3971.A979 W35 2009","0","ger","gw "
"PF3074.85 .D48 2008","1","ger","gw "
"SB272.B94 N45 2008","0","fre","bd "
"PN5339.G43 I8 1926","1","rus","ru "
"N7483.F84 M37 2001","0","hun","hu "
"DK855.5.T3 M383 2008","0","rus","ta "
"HM606.H9 A64 2008","0","hun","hu "
"HF3630.2.Z9 N596 2006","0","rus","ru "
"HC79.E5 V595 2009","0","eng","enk"
"DK4081 .B34 2009","0","heb","is "
"PK6530 .R83 2008","0","tgk","ta "
"PG3483.2.R535 V65 2004","2","rus","ru "
"PJ5055.34.I764 M38 2009","0","heb","is "
"PJ5055.41.E58 I58 2009","0","heb","is "
"PJ5055.39.O993 P32 2009","0","heb","is "
"HD4215.15 .M35 2007","0","rus","ru "
"HV7015.15 .E47 2008","0","rus","ru "
"PJ5054.M344 M37 2009","0","heb","is "
"DK507.69.R8 B46 1998","0","rus","ru "
"PJ5055.51.I66 M45 2009","0","heb","is "
"HX313 .L48 2008","0","rus","ru "
"HQ759 .M4318 2009","0","heb","is "
"LC2461 .C67 1998","0","eng","nyu"
"DR2044 .B84 2008","0","eng","rb "
"PJ5055.19.A359 L42 2009","0","heb","is "
"JV8153 .M37 2008","0","pol","pl "
"PJ5054.B32 L42 2009","0","heb","is "
"PJ5055.2.L353 T36 2009","0","heb","is "
"DG457.R78 R88 2004","0","rus","ru "
"PJ5054.S2517 A64 2009","0","heb","is "
"DK510.762 .S45 2006","0","rus","ru "
"DG975.S306 C378 2006","0","ita","it "
"BX1490 .C38 2007","0","ita","it "
"RC628 .Z44 2009","0","heb","is "
"PJ5055.23.A74 K65 2009","0","heb","is "
"PJ5055.26.I467 S85 2009","0","heb","is "
"PG3370 .M49 2007","0","rus","ru "
"BP135.A2 H363 2009","0","ara","iq "
"BP135.A2 H363 2009","0","ara","iq "
"BP135.A2 H363 2009","0","ara","iq "
"LC3987.I75 Y33 2009","0","heb","is "
"PJ5055.41.A935 B47 2009","0","heb","is "
"Z8.R82 S533 2008","0","rus","ru "
"BM198.2 .D58 2009","0","heb","is "
"PJ4543 .B24 2008","1","heb","is "
"HF1612.8 .N59 2006","0","fre","bd "
"JQ1830.A56 C62 2008","0","heb","is "
"HD4348 .N95 2008","0","fre","bd "
"BX470 .P73 2000","0","rus","ru "
"PJ5054.A49655 K46 2009","0","heb","is "
"HX11.I5 F661 1973","0","eng","nyu"
"BX470 .P73 2000","0","rus","ru "
"HF3892 .N44 2008","0","eng","bd "
"DA566.9.L4 M4 1934","0","eng","nyu"
"N7279.T48 A4 2007","0","heb","is "
"PJ5055.21.R37 D67 2008","0","heb","is "
"ND623.G6 I83 2009","0","ita","it "
"NB623.B9 C37 2008","0","ita","it "
"NB623.P326 B45 2008","0","ita","it "
"G155.B94 D57 2009","0","eng","bd "
"D34.C6 F32 1962","0","por","ne "
"NB623.M459 A4 2009","1","ita","it "
"NB163.M5 M56 2008","0","ita","it "
"PL4378.9.V86 S6213 2002","7","eng","miu"
"HV6250.4.C48 R33 2007","0","fre","sg "
"ND3380.4.T69 C56 2008","0","ita","it "
"UB270 .G45 2009","0","heb","is "
"PK2096.S36 R378 2005","0","hin","ii "
"HQ789 .H395 2005","0","pus","af "
"BL1378 .V58 2003","0","san","ii "
"BL1225.G352 G36 2001","0","san","ii "
"PJ5055.39.O865 A78 2009","1","heb","is "
"B755 .S47 2007","0","heb","is "
"DK757.3. .B46 2005","0","rus","ru "
"PJ5055.48.E386 S58 2008","0","heb","is "
"PG3027 .D36 2007","0","rus","ru "
"PJ5055.41.A3512 E52 2008","0","heb","is "
"PK9169.V38 Z53 2000","1","rus","ru "
"HJ1211.52 .T786 2007","0","rus","ru "
"DR451 .B667 2006","0","tur","tu "
"PJ5054.M35436 Z75 2008","0","heb","is "
"DK190.6.S77 S46 2006","0","rus","ru "
"BX1756.V6 S34 1948","0","por","bl "
"PJ5055.39.A363 M66 2009","0","heb","is "
"Z373.6.S25 P62 2007","0","rus","ru "
"PJ5055.41.A8913 D47 2009","0","heb","is "
"PJ5055.12.R34 P76 2009","0","heb","is "
"PG3492.6.U335 U54 2008","0","rus","mv "
"NB623.B45 A68 2009","0","ita","it "
"NE2054.5.R4 A4 2009","0","ita","it "
"NA1197.U35 S55 2008","0","rus","ru "
"BP55 .L57 1999","0","ara","le "
"PG7158.G62 F58 2008","0","pol","pl "
"BM729.W6 K44 2008","0","heb","is "
"PG3493.5.A738 S76 2007","0","rus","ru "
"JN6699.A15 R83 2008","0","rus","ru "
"BP191 .U27","0","tur","tu "
"BP194 .H977 2009","0","ara","le "
"BP194 .H977 2009","0","ara","le "
"TA140.S495 A54 2006","0","rus","ru "
"HB113.V56 A5 2006","0","rus","ru "
"PJ5055.22.U874 T44 2009","0","hun","hu "
"BT590.I3 P24 2008","2","eng","nju"
"DK62.6 .B22 2008","1","rus","ru "
"PG3482.8.R4985 I9 2008","0","rus","ru "
"DR556 .S27 2007","0","tur","tu "
"HD1536.R8 S85 2008","0","rus","ru "
"HC340.12 .G343 2008","1","rus","ru "
"DK49 .I53 2008","0","rus","ru "
"DK565 .A554 2008","0","rus","ru "
"DF827 .C455 2007","0","tur","tu "
"F3448.5 .C53 2008","0","spa","pe "
"ND623.A825 P37 2008","0","ita","it "
"N8054 .K378 2008","0","pol","pl "
"PG3487.U5164 S53 2009","0","rus","ru "
"DL991.S5 T47 2003","0","swe","sw "
"PQ4085 .S24 2009","1","ita","it "
"GV944.T9 A32 2005","0","tur","tu "
"NK3650.5.R8 M65 1990","0","rus","ru "
"NK5004.S65 G67 1987","0","rus","ru "
"N6988.5.A83 A93 2007","0","ita","it "
"PQ4253.2 .A615 2006","0","ita","it "
"PQ4882.I93 C74 2009","0","ita","it "
"NC31.G65 J55 2006","0","eng","cau"
"JK526 2008 .C36 2009","2","eng","nyu"
"KF4772 .S445 2009","0","eng","ksu"
"JQ3525 .C58 2008","1","eng","sg "
"JC328.6 .C656 2009","2","eng","enk"
"JV6217.5 .D53 2009","3","eng","cau"
"K1519.B54 R37 2009","0","eng","mdu"
"BT82.2 .S518 2009","3","eng","nyu"
"JV6465 .G48 2009","5","eng","dcu"
"JK2281 .M365 2009","1","eng","mdu"
"JV7409.Z6 S366 2009","4","eng","cau"
"KF4898 .R63 2009","0","eng","mdu"
"JK1764 .K47 2009","2","eng","cou"
"U22.3 .G76 2009","6","eng","nyu"
"KF9325 .Z55 2009","1","eng","mdu"
"HC340.12 .P58 2009","1","eng","mdu"
"K3268.3 .P75 2009","2","eng","enk"
"JK1846 .E94 2009","0","eng","tnu"
"UA646.3 .T465 2009","1","eng","nyu"
"JK526 2008 .W55 2009","1","eng","cou"
"JK526 2008 .Y437 2010","1","eng","nyu"
"JK1411 .A87 2009","0","eng","txu"
"JK1991 .W34 2009","0","eng","dcu"
"JA71 .C5773 2009","3","eng","mau"
"JQ629.A56D42 D49 2008","2","eng","enk"
"JZ6369 .G53 2009","4","eng","tnu"
"JZ1480.A57 S653 2009","1","eng","dcu"
"JZ4984.6 .F37 2009","2","eng","ctu"
"JN900 .C65 2009","1","eng","enk"
"JF60 .I583 2009","2","eng","enk"
"HE9715.A35 M63 2009","1","eng","cm "
"DL59.R8 N48 2008","0","eng","be "
"JF2112.C3 P66 2009","4","eng","nju"
"JF1351 .G697 2009","0","eng","nyu"
"JK1846 .K48 2009","5","eng","nyu"
"KF478 .L37 2009","3","eng","nyu"
"GN645 .S635 2008","1","eng","et "
"JK275 .T525 2009","1","eng","cau"
"JZ1480.A5 T69 2009","1","eng","nyu"
"JA86 .S594 2009","0","eng","inu"
"K3927 .P65 2009","1","eng","enk"
"UA23 .O385 2009","0","eng","dcu"
"JQ2998.A37 C586 2008","0","eng","au "
"K3620 .L39 2009","1","eng","mdu"
"KF4550 .C576 2009","3","eng","enk"
"JF1525.E8 E8524 2009","0","eng","nyu"
"JZ1318 .G5566 2009","2","eng","enk"
"JC599.U5 H626 2009","1","eng","miu"
"JZ1251 .I58 2009","2","eng","nyu"
"KF5130 .S55 2009","4","eng","enk"
"KF352 .J64 2009","4","eng","nyu"
"JA71 .V55 2009","1","eng","enk"
"JZ4841 .P68 2009","3","eng","nju"
"JK2316 .G67 2009","2","eng","cou"
"KF385 .A727 2009","0","eng","kyu"
"JA84.F8 A835 2009","1","eng","mnu"
"KF8742 .S287 2009","1","eng","dcu"
"JF1525.E8 A33 2009","0","eng","nyu"
"JK1924 .T47 2009","2","eng","dcu"
"JK526 2008 .W56 2009","1","eng","nyu"
"K3269 .N46 2009","0","eng","ncu"
"UB341 .C3613 2009","1","eng","enk"
"JZ1310 .C474 2009","5","eng","enk"
"KF4865 .W49 2009","0","eng","mau"
"JF1351 .H685 2009","0","eng","dcu"
"JA71 .M195 2009","1","eng","enk"
"JF1351 .L374 2009","0","eng","enk"
"HB1955 .J45 2008","0","fre","quc"
"HQ1075.5.C27 S49 2009","1","eng","jm "
"BR115.E3 L655 2007","2","eng","txu"
"HQ1240.5.T34 G464 2007","0","eng","dcu"
"HN400.S6 T69 2008","0","eng","enk"
"PN1993.5.G3 T35 2009","0","eng","enk"
"PN1995.9.M52 H65 2009","0","eng","ncu"
"PN1995.9.H6 M376 2008","5","eng","ne "
"N7433.8 .D535 2009","3","eng","enk"
"N6888.D37 A815 2009","2","eng","enk"
"N6537.C66 J675 2007","1","eng","sz "
"N6447 .R88 2009","1","eng","cau"
"Q127.U6 A6815 2009","3","eng","mau"
"Z1003.2 .I93 2009","0","eng","nyu"
"HC60 .L42 2009","0","eng","enk"
"B335 .T86 2009","2","eng","cau"
"BL820.A7 G73 2009","2","eng","enk"
"BV5023 .F56 2009","2","eng","enk"
"HN11 .S63 2009","4","eng","enk"
"NB1803.I8 T73 2008","0","ita","it "
"DK918.8757 .I273 2008","0","rus","ru "
"N8189.R9 I347 2008","0","rus","ru "
"GR260.2.S44 S68 2008","0","eng","rb "
"N7942 .I46 2007","0","ita","it "
"DK510.33 .S45 2004","0","rus","ru "
"HQ1784 .M35 2007","0","ara","jo "
"DK859.56 .O43 2008","0","rus","kg "
"BX4711.623 .P48 2008","0","rus","ru "
"PN2728.N37 A3 2008","0","rus","ru "
"NE1183.3 .B37 2005","2","eng","hiu"
"HX867.7.D5 F73 2007","0","ita","it "
"D748 .M59 2008","0","rus","ru "
"HF3625 .P468 2008","0","rus","ru "
"PJ7928.J53 G48 2007","0","ara","le "
"PN2728.D76 A3 2005","0","rus","ru "
"DK4138.R66 T3 2008","0","pol","pl "
"PJ5129.S86 8717 2008","0","rus","ru "
"ND6923.B587 A84 2008","0","ita","it "
"NE2052.25 .M35 2008","0","ita","it "
"DK859.56 .I43 2008","0","rus","kg "
"PN1992.3.G4 S723 2008","0","ger","gw "
"VK79 .A54 2006","0","ita","it "
"JK31 .F75 2006","0","rus","ru "
"BP166.2 .J332 2007","0","ara","sy "
"DK268.S8 B87 2008","1","rus","ru "
"DK269 .S7317 1992","1","rus","ru "
"N5267.S53 S539 2008","0","ger","gw "
"PG2752 .G72 2008","0","rus","ru "
"G80 .C687 2007","0","ita","it "
"PG3021 .L585 2008","0","rus","ru "
"B3279.H49 P42 2008","0","ita","it "
"DD901.F87 E35 2008","0","ger","gw "
"BX497.A4 G75 2007","0","rus","ru "
"V859.R8 I66 2006","0","rus","ru "
"DG618 .P55 2008","0","ita","it "
"LF4326.N55 A3 2008","0","rus","ru "
"DK254.R3 B87 2008","0","rus","ru "
"PA6381.D8 O7 2008","0","ita","it "
"DAW1028.C75 W55 2008","0","ger","gw "
"BF692.5 .N37 2008","0","rus","ru "
"N6923.F53 A4 2007","0","ita","it "
"PT2647.E4157 Z675 2009","0","ger","gw "
"NA1196 .M36 2008","0","rus","ru "
"PQ4841.C482 Z6664 2009","0","ita","it "
"PQ4101 .S55 2009","0","ita","it "
"DF261.O5 T745 2009","0","ger","gw "
"PQ4876.R373 C36 2009","1","ita","it "
"PG1419.26.O48 Z52 2008","1","eng","rb "
"PT2647.A64 Z87 2009","0","ger","au "
"PQ1653 .P28 T713 1931","1","eng","enk"
"DH103 .N54 1979","0","dut","ne "
"PT2621.U665 K8 1980","0","ger","gw "
"ND623.R7532 A4 2009","0","ita","it "
"P96.A752 P676 2004","0","por","po "
"N6923.B9 .G73 2008","0","ita","it "
"PN1997.A1 R44 2006","0","tur","tu "
"HG3881.5.I58 F54 2009","0","eng","enk"
"DR438.9.A42 A3 2005","0","tur","tu "
"HC800 .N49 2008","1","eng","nyu"
"ND623.G35 A74 2008","0","ita","it "
"DG225.S2 S35 2009","0","ita","it "
"PL198 .B48 S27 2003","0","tur","tu "
"HQ1090.7.A35 M37 2008","0","eng","sg "
"PQ4879.E94 P73 2009","0","ita","it "
"DS598.P5 T28 2007","0","eng","my "
"HB3692.63.A3 C464 2008","0","eng","nw "
"PQ4916.R53 S64 2009","0","ita","it "
"HD9017.B94 N95 2008","0","fre","bd "
"HD966 .M69 2008","1","eng","sg "
"KVS655 .L44 2008","0","eng","fm "
"PS3563.U397 V36 2006","0","eng","nyu"
"PS3563.O594 F65 2009","3","eng","nyu"
"PF3460 .S345 2008","0","ger","gw "
"E457.92 2009","0","eng","nyu"
"D802.I82 L538 2009","0","ita","it "
"JC271.R52 R959 2008","0","spa","sp "
"UA853.I75 G73 2009","0","eng","pau"
"PJ7542.Q3 M87 2007","0","ara","sy "
"BX1905 .P44 2009","1","ita","it "
"HG178.33.B94 B26 2008","0","fre","bd "
"F1419.A1 D57 2009","1","spa","ec "
"HD8039.D52 R9536 1981","0","fre","rw "
"PA6706.A3 B63 2007","0","ita","it "
"DG738 .T34 2009","0","ita","it "
"DG221.5 .P38 2008","0","ita","it "
"BP130.2 .B377 2007","0","ara","le "
"DT450.86 .G46 2009","0","eng","nyu"
"CJ335 .C24 2008","0","ita","it "
"PR6052.O848 T45 2008","0","eng","nyu"
"PH2410 .A46 2008","0","hun","hu "
"PA3265 .G56 2006","0","ita","it "
"PS536.2 .B44 2009","7","eng","mau"
"BM695.P35  H95 1982","0","eng","nyu"
"UB271.I752 O74 2009","0","heb","is "
"PK2198.G4 G43 2002","0","urd","pk "
"PJ7864.H32 Y28 2007","0","ara","le "
"PQ4874.E664 P34 2009","0","ita","it "
"HD7373.7.K5 L69 1982","0","fre","rw "
"DS134.64 .L48 2009","0","heb","is "
"PJ5055.4.A69 L556 2009","0","heb","is "
"PK2098.S27 J5 1959","0","hin","ii "
"PQ4873.I38 D67 2008","0","ita","it "
"PJ5054.S845 L6 2009","0","heb","is "
"HV5647.5.Z8 K52 1983","0","fre","rw "
"ND565 .S819","1","ger","gw "
"PJ7976.A967 R33 2007","0","ara","le "
"PQ4913.U73 G56 2009","0","ita","it "
"HN795.K5 N83 1983","0","fre","rw "
"PS3554.O884 S66 2009","2","eng","nyu"
"PQ4915.G44 C665 2009","0","ita","it "
"KSY2100 .N36 2008","0","eng","sx "
"PQ4922.A7 P34 2009","0","ita","it "
"RA395.R95 S47 1984","0","fre","rw "
"PK2659.B437 S67 2000","0","pan","ii "
"PJ5054.B4223 G33 2009","0","heb","is "
"PQ4864.E5889 M66 2008","0","ita","it "
"HD8039.D52 R9546 1984","0","fre","rw "
"PJ5055.13.N4 S54 2009","0","heb","is "
"HD8039.D52 R9575 1981","0","fre","rw "
"PJ5030.P64 O737 2009","0","heb","is "
"N6997.M7 K65 1999","0","rus","ru "
"PG1419.26.E79 S28 2008","0","eng","rb "
"HE5614.5.B94 N59 2008","0","fre","bd "
"CS847 .V37 2007","0","rus","ru "
"PQ4878.A89 G84 2009","0","ita","it "
"N6997.M7 G47 2008","0","rus","ru "
"DS51.B53 K85 2008","0","tur","tu "
"HC492 .R494 2008","0","tur","tu "
"DS731.R9 M452 2007","0","rus","ru "
"GT2773.5.A2 K85 2007","0","tur","tu "
"DT280 .C47 2007","0","ota","tu "
"PG3483.I71 S75 2009","0","rus","ru "
"JC574.2.G3 F734 2009","0","ger","gw "
"DR2084 .O86 2007","0","ota","tu "
"KBP955.4 .M84 2007","1","ara","ua "
"PK9201.A39 C457 1980","0","abk","gu "
"DB955.6.E77 P3815 2008","0","hun","hu "
"PQ4253.2 .S58 2009","0","ita","it "
"PQ2625.A78719 A54 2004","0","ita","it "
"PH3281.L758 Z75 2008","0","hun","hu "
"Z6620.G3 S33 2007","0","ger","gw "
"P302.5 .S96 2008","0","hun","hu "
"ND623.R2 A4 2009","0","ita","it "
"PN1992.56 .F476 2009","0","ger","gw "
"DS247.Y4A3 O75 2008","0","tur","tu "
"DR961 .O75 2008","1","tur","tu "
"PQ4712.L4 A73785 2008","0","ita","it "
"HX288 .G298 2007","0","ita","it "
"JN3971.A98 C44597 2009","0","ger","gw "
"JA84.P7 P367 2008","0","pol","pl "
"PQ4809.O563 M53 2008","0","ita","it "
"HQ1663 .K78 1938","0","rus","ru "
"DD123 .V37 2009","2","ger","gw "
"DJK46 .U73 2008","0","pol","pl "
"ND623.T929 A4 2008","0","ita","it "
"DD801.P66 S77 2004","0","ger","gw "
"DG577.5 .T383 2008","0","ita","it "
"D70 .I578 2007","0","ita","it "
"PK2098.S27 S25 1955","0","hin","ii "
"B4263.O662 P7 2008","0","pol","pl "
"PL67.4 .K36 1996","0","tut","ru "
"HC254 .L36 2009","0","eng","enk"
"DD282 .W318 2009","0","ger","au "
"HV5840.E3 S534 2000z","0","ara","ua "
"HV5840.E3 S534 2000z","0","ara","ua "
"HV5840.E3 S534 2000z","0","ara","ua "
"HV5840.E3 S534 2000z","0","ara","ua "
"HV5840.E3 S534 2000z","0","ara","ua "
"ND623.T2839 A88 2008","0","ita","it "
"HC303 .Z36 2007","0","ita","it "
"DB2650.M37 B676 2009","0","ger","gw "
"HC172.5.A2 H57 2009","0","spa","ag "
"DD901.B82 F75 2008","0","ger","gw "
"PQ4627.M2 Z6345 2009","0","ita","it "
"B4238.E74 B64 2008","0","pol","pl "
"PQ6144 .C284 2009","0","spa","sp "
"PK2036 .S27 1956","0","hin","ii "
"DT107.828.M24683 A233 2007","1","ara","ua "
"PQ4656 .S36 2001","0","ita","it "
"G630.R8 C45 2008","0","rus","ru "
"PF5013 .B387 2006","0","ger","au "
"NA6846.U6 K45 2008","0","eng","ilu"
"PQ4028 .T73 2008","0","ita","it "
"BD398 .D57 2009","0","ita","it "
"PJ7874.U782 L34 2008","0","ara","jo "
"DR2044.C67 A3 2008","0","eng","rb "
"DK70.A2 S56 2007","0","rus","ru "
"CR6150.M35 A33 2002","0","may","my "
"HC499 P2 H6","1","eng","is "
"DR2087.7 .C66 2008","0","eng","rb "
"PG3476.B78 Z1745 1981","0","rus","nyu"
"PN2859.L5 L53 2000","0","lit","li "
"PN1992.3.G4 F435 2009","0","ger","gw "
"NC257.D363 A4 2008","0","ita","it "
"DT1558.G46 T33 2007","0","ger","gw "
"Z6605.S62 I93 2008","0","bul","bu "
"NB85 .S38 2003","0","ita","it "
"N6911 .M8624 2009","0","ita","it "
"GT4863.A3 A9844 1982","0","por","po "
"NE659 .R33 2009","0","ita","it "
"DK651.G6 S65 2007","0","rus","ru "
"NK7152.N36 G58 2000","1","ita","it "
"BP75.3 .G67 2008","0","ger","nju"
"DT1558.A46 S83 2008","0","afr","sx "
"BD418.5.S7 M35 2007","0","spa","sp "
"P96.E29 K73 2008","0","pol","pl "
"BC177 .R32 2006","0","spa","sp "
"NA5621.S493 M65 2000","0","ita","it "
"BJ1012 .C835 2007","0","spa","sp "
"DK2.M6 I98 2008","0","rus","ru "
"GN357 .F53 2006","0","spa","sp "
"KLB1160 .P48 2005","0","rus","ru "
"BX1558.2 .T745 2008","0","rus","ru "
"PG1826.T42 M43 2007","0","slv","xv "
"DK771.W47 T75 2006","0","rus","ru "
"DC112.M2 R45 2009","0","eng","ne "
"DC112.M2 R45 2009","0","eng","ne "
"HD5764.A6 I47 2008","0","eng","mau"
"GR550 .R6313 2008","2","eng","vtu"
"HB172.5 .M33 2009","0","eng","enk"
"JS1248.7.A15 T88 2008","5","eng","cau"
"N6811.5.K55 S272 1987","3","eng","sz "
"T55 .U482 2008","0","eng","dcu"
"TP248.185 .B5455 2009","0","eng","fr "
"P92.A35 T36 2006","0","eng","cm "
"HB172.5 .E87 2009","1","eng","gw "
"PH3213.D53 Z48 2006","0","hun","hu "
"DK761 .T63 2004","0","rus","ru "
"LF4425.V76 K76 2003","0","rus","ru "
"HC340.12 .I282 2007","1","rus","ru "
"DB947 .L567 2008","0","hun","hu "
"PG1410 .N55 2008","0","eng","rb "
"PH3042 .A43 1999","0","hun","hu "
"DB956.6.K33 B47 2008","0","hun","hu "
"DR571 .M868 2008","0","tur","tu "
"PL223 .Y543 2008","0","tur","tu "
"PH2410 .N274 2008","0","hun","hu "
"BP188.8.T9 A9 2008","0","tur","tu "
"PJ5055.33.I94915 B36 2009","0","heb","is "
"PJ5055.23.A7725 O65 2009","0","heb","is "
"DR592.C46 A87 2008","1","tur","tu "
"PL208 .K378 2008","1","tur","tu "
"BX395.B37 A3 2006","0","tur","tu "
"DK500.I78 T55 2006","0","rus","ru "
"JQ1809.A5 B35 2006","0","tur","tu "
"DS51.T2 P57 2008","0","tur","tu "
"PN520.5 .M68 1973","0","rus","ru "
"HN530.2.A8 V74 2007","0","rus","ru "
"DR592.M37 U57 2007","0","tur","tu "
"HQ799.8.I75 B45 2009","0","heb","is "
"PJ5055.41.E483 L36 2009","0","heb","is "
"PG3462 .A17 1990","0","rus","ru "
"DR435.K87 B43 1992","0","tur","tu "
"PJ5055.47.E44 A88 2009","0","heb","is "
"BL1130 .F3","2","eng","enk"
"DR435.K87 B822 1991","0","tur","tu "
"JC599.R8 P732 2008","0","rus","ru "
"PJ5055.41.A3596 S53 2009","0","heb","is "
"HN530.2.Z9 S635 2008","0","rus","ru "
"PL121 .S26 2004","0","ota","tu "
"BP605.N48 M45 2009","0","heb","is "
"PJ5055.12.H365 S63 2009","0","heb","is "
"PR9387.9.A344 T73 2008","0","eng","nr "
"PJ5055.12.R47 H37 2009","0","heb","is "
"PJ5055.41.P345 P75 2009","0","heb","is "
"PJ5055.48.A973 H33 2008","0","heb","is "
"DS79.72 .G849 2008","0","eng","nr "
"PA3892.L4 H3","0","ger","ne "
"BL65.P7 A75 2008","0","eng","io "
"BJ1287.K663 M879 2008","0","heb","is "
"DA530 .M43 2007","3","eng","enk"
"PJ5055.43.O48 Z44 2009","0","heb","is "
"BX3705 .R63 1912","0","por","it "
"HC415.25 .B4548 2008","0","heb","is "
"HM421 .V66 2007","0","ger","gw "
"PJ5055.33.E92 I53 2009","0","heb","is "
"HD977 .L363 2005","0","eng","ua "
"DG975.P7 C67 2005","0","ita","it "
"PJ5055.12.V487 M32 2008","0","heb","is "
"DR572 .K866 2009","0","tur","tu "
"PJ5055.36.R46 G75 2008","0","heb","is "
"HQ76.3.I8 W4 2007","0","ita","it "
"BX752.T9 O95 2003","0","tur","tu "
"PJ5055.12.M583 I84 2009","0","heb","is "
